cell,ExpDate,Nerve,MouseAge,MouseWeight,MouseSex,Genotype,NbTransgenes,AgeGroup,G+A,PIC Amp,PIC/Gin,V_PIC onset,V_PIC peak,PICdown Amp,PICdown/Gin,V_PIC offset,V_PICdown peak,Gin,RepFiring,Ion,Ioff,∆I,∆F,Gain_Asc,Vth,Gain_Desc,I_SPR-PR,F_SPR-PR,RMP,∆Vth,∆V_PIC onset,∆V_PIC peak
128,20140117,sciatic,71,26,,WT,0.0,P60–90,WT_P60–90,2.1,7.777777777777778,-63.0,-46.5,2.41,8.925925925925926,-67.6,-45.3,0.27,Firing,2.2,1.6,-0.6,2.4,9.226122,-48.0,12.192781,3.3,41.74,-60.73,12.729999999999995,-2.270000000000003,14.229999999999995
130,20140117,sciatic,71,26,,WT,0.0,P60–90,WT_P60–90,1.9,7.916666666666668,-70.7,-45.1,2.37,9.875,-73.6,-45.2,0.24,Firing,3.9,3.3,-0.6,11.5,28.222264000000003,-52.7,14.973606,4.4,41.49,-69.24,16.539999999999992,-1.460000000000008,24.139999999999993
141,20140129,Tibial,72,19,,SOD1,,P60–90,SOD1_P60–90,0.6,1.4999999999999998,-48.2,-45.3,0.24,0.6,-46.4,-46.8,0.4,Firing,0.813105,0.8575,0.044396,7.5287440000000005,31.251047999999997,-50.674438,40.733965999999995,1.252688759,38.06444129,-58.3,7.625561999999995,10.099999999999994,13.0
143,20140129,EPSP_Tibial,72,19,,SOD1,,P60–90,SOD1_P60–90,3.3,7.0212765957446805,-51.8,-35.8,2.8,5.957446808510637,-54.5,-37.8,0.47,Firing,4.0,3.0,-1.0,-8.2,11.065908,-38.5,4.790233,4.5,28.3,-62.5,24.0,10.700000000000003,26.700000000000006
147,20140206,tibial,90,17,,WT,0.0,P60–90,WT_P60–90,3.4,11.724137931034484,-61.4,-33.1,0.03,0.10344827586206896,-56.6,-28.7,0.29,Firing,4.7,6.8,2.1,56.0,6.72355,-36.4,112.635632,5.3,67.3,-52.53,16.130000000000006,-8.869999999999997,19.43
148,20140206,tibial,90,17,,WT,0.0,P60–90,WT_P60–90,1.2,4.615384615384615,-56.5,-42.4,1.09,4.1923076923076925,-58.6,-41.7,0.26,Firing,2.7,3.3,0.5,-3.2,14.844036,-43.9,31.782837,3.9,69.4,-59.8,15.9,3.299999999999997,17.4
160,20140211,tibial,40,19,,WT,0.0,P30–60,WT_P30–60,4.8,13.714285714285715,-70.7,-44.2,5.24,14.971428571428573,-70.2,-43.1,0.35,Firing,4.4,4.4,0.0,2.2,10.554311,-42.5,16.126169,5.1,48.4,-69.3,26.8,-1.4000000000000057,25.099999999999994
169,20140212,CP,43,23,,WT,0.0,P30–60,WT_P30–60,1.1,6.875,-57.0,-32.7,3.13,19.5625,-58.4,-31.1,0.16,Firing,2.8,2.5,-0.3,2.7,8.332504,-35.2,11.680419,3.8,61.8,-62.44,27.239999999999995,5.439999999999998,29.739999999999995
238,20140314,tibial,38,18,,WT,0.0,P30–60,WT_P30–60,0.0,0.0,-47.3,-47.3,0.19,0.8636363636363636,-46.4,-45.2,0.22,Firing,0.688898,2.078102,1.389204,-11.200619999999999,11.017985000000001,-44.647217,11.017985000000001,,30.1,-51.9,7.252783000000001,4.600000000000001,4.600000000000001
239,20140314,tibial,38,18,,WT,0.0,P30–60,WT_P30–60,1.4,5.384615384615384,-57.5,-48.3,2.11,8.115384615384615,-55.5,-45.1,0.26,Firing,1.4,2.0,0.6,14.7,10.426311,-49.0,18.792679999999997,3.4,48.6,-61.0,12.0,3.5,12.700000000000005
241,20140314,tibial,38,18,,WT,0.0,P30–60,WT_P30–60,2.8,4.7457627118644075,-62.5,-51.4,2.48,4.203389830508475,-64.5,-48.2,0.59,Firing,7.8,11.0,3.3,-0.3,,-50.1,,,,-68.3,18.2,5.799999999999998,16.9
245,20140314,?,38,18,,WT,0.0,P30–60,WT_P30–60,1.2,2.9268292682926833,-60.4,-49.0,0.78,1.9024390243902443,-60.5,-50.3,0.41,Firing,4.5,6.9,2.4,25.3,,-50.0,,,,-60.8,10.799999999999995,0.3999999999999986,11.799999999999995
250,20140314,tibial,38,18,,WT,0.0,P30–60,WT_P30–60,0.5,1.7241379310344829,-58.6,-47.6,1.43,4.931034482758621,-59.9,-46.6,0.29,Firing,1.4,2.2,0.8,-1.7,15.093798000000001,-58.5,19.013073000000002,2.9,40.5,-65.43,6.930000000000009,6.8300000000000045,17.830000000000005
252,20140314,tibial,38,18,,WT,0.0,P30–60,WT_P30–60,1.5,3.125,-53.4,-40.0,1.62,3.3750000000000004,-56.5,-42.7,0.48,Firing,9.6,11.9,2.2,11.2,,-46.4,,,,-69.6,23.2,16.199999999999996,29.599999999999994
254,20140314,tibial,38,18,,WT,0.0,P30–60,WT_P30–60,0.9,1.875,-51.5,-45.5,0.34,0.7083333333333334,-50.7,-49.8,0.48,Firing,6.6,9.2,2.7,8.5,,-44.4,,,,-56.8,12.4,5.299999999999997,11.299999999999995
292,20140320,tibial,44,20,,WT,0.0,P30–60,WT_P30–60,0.6,2.0689655172413794,-66.1,-44.2,2.04,7.03448275862069,-65.4,-41.7,0.29,Firing,1.6,1.8,0.2,19.1,,-46.1,,,,-55.4,9.299999999999997,-10.699999999999996,11.199999999999996
274,20140320,?,44,20,,WT,0.0,P30–60,WT_P30–60,0.6,1.818181818181818,-54.8,-43.3,0.51,1.5454545454545454,-51.7,-42.9,0.33,Firing,3.7,5.9,2.2,-37.6,9.430857000000001,-48.1,23.998591,5.8,49.8,-61.1,13.0,6.300000000000003,17.800000000000004
290,20140320,tibial,44,20,,WT,0.0,P30–60,WT_P30–60,1.3,5.2,-61.5,-41.8,0.72,2.88,-57.7,-39.3,0.25,Firing,0.9,1.7,0.8,-1.5,,-46.5,,,,-63.9,17.4,2.3999999999999986,22.1
282,20140320,?,44,20,,WT,0.0,P30–60,WT_P30–60,2.7,9.642857142857142,-55.6,-41.0,3.31,11.821428571428573,-59.2,-42.5,0.28,Firing,2.6,2.0,-0.6,-11.1,13.103225,-42.6,12.326865,3.3,44.1,-63.7,21.1,8.100000000000001,22.700000000000006
295,20140403,tibial,43,26,,WT,0.0,P30–60,WT_P30–60,5.8,11.372549019607842,-53.5,-40.3,6.77,13.274509803921568,-53.9,-41.3,0.51,Firing,4.6,5.0,0.4,-7.4,,-37.5,,,,-60.45,22.950000000000006,6.950000000000002,20.150000000000006
296,20140403,tibial,43,26,,WT,0.0,P30–60,WT_P30–60,2.3,4.181818181818182,-61.2,-49.4,1.61,2.9272727272727272,-63.7,-49.8,0.55,Firing,4.5,5.3,0.8,-0.1,,-48.8,,,,-64.8,16.0,3.5999999999999943,15.4
309,20140403,tibial,43,26,,WT,0.0,P30–60,WT_P30–60,0.1,0.14285714285714288,-47.1,-47.1,0.18,0.2571428571428572,-48.7,-49.51,0.7,Firing,9.1,11.7,2.6,-6.2,,-40.5,,,,-60.0,19.5,12.9,12.9
314,20140403,tibial,43,26,,WT,0.0,P30–60,WT_P30–60,5.0,10.0,-66.4,-44.0,4.66,9.32,-68.0,-44.57,0.5,Firing,6.2,6.8,0.6,17.4,4.609975,-49.0,17.584491,7.8,84.2,-67.95,18.950000000000006,1.5499999999999972,23.950000000000006
320,20140403,tibial,43,26,,WT,0.0,P30–60,WT_P30–60,3.2,5.245901639344263,-54.0,-38.7,2.92,4.786885245901638,-55.0,-37.7,0.61,Firing,5.9,8.7,2.8,1.7,3.561428,-37.0,45.596859,8.6,53.1,-52.4,15.4,-1.6000000000000014,13.699999999999996
324,20140403,tibial,43,26,,WT,0.0,P30–60,WT_P30–60,7.9,11.617647058823529,-63.4,-36.9,10.4,15.294117647058822,-68.9,-39.4,0.68,Firing,11.5,11.4,-0.1,8.3,6.873958999999999,-44.8,15.984344,12.7,82.4,-70.0,25.200000000000006,6.600000000000001,28.6
346,20140417,Tibial,111,26,,SOD1,,P90–120,SOD1_P90–120,3.5,10.294117647058822,-68.5,-47.6,5.0,14.705882352941178,-70.1,-46.2,0.34,Firing,3.9,3.4,-0.5,8.7,16.776858999999998,-53.3,15.207859,3.7,46.8,-68.6,15.299999999999995,0.09999999999999433,20.999999999999996
354,20140422,Tibial,116,22,,SOD1,,P90–120,SOD1_P90–120,1.3,7.222222222222222,-61.4,-41.4,1.15,6.3888888888888875,-57.5,-40.0,0.18,Firing,2.2,2.6,0.4,3.8,10.664927,-47.1,19.120232,2.6,54.6,-63.6,16.5,2.200000000000003,22.200000000000006
356,20140422,CP,116,22,,SOD1,,P90–120,SOD1_P90–120,1.5,6.8181818181818175,-59.6,-40.2,1.3,5.909090909090909,-60.8,-41.0,0.22,Firing,1.2,2.5,1.3,-11.5,7.1423380000000005,-43.0,18.188795000000002,2.8,65.2,-57.2,14.200000000000005,-2.3999999999999986,17.0
359,20140422,Tibial,116,22,,SOD1,,P90–120,SOD1_P90–120,2.0,4.651162790697675,-51.0,-38.6,2.11,4.906976744186046,-53.5,-39.0,0.43,Firing,1.8,3.0,1.2,-1.0,7.127932,-39.9,16.035375,3.3,46.3,-50.1,10.200000000000003,-0.8999999999999986,11.5
352,20140422,Tibial,116,22,,SOD1,,P90–120,SOD1_P90–120,1.4,8.75,-65.4,-53.6,1.4,8.75,-67.8,-53.0,0.16,Firing,0.3600000000000001,0.06000000000000005,-0.3,12.2,38.186708,-52.6,28.361896999999995,-0.5,33.5,-60.9,8.299999999999997,-4.500000000000006,7.299999999999998
363,20140501,Tibial,122,21,,SOD1,,P90–120,SOD1_P90–120,0.9,5.0,-55.3,-48.2,1.14,6.333333333333332,-57.9,-46.0,0.18,Firing,0.9000000000000004,1.7999999999999998,0.9,4.0,8.610758,-52.7,18.795362,-3.0,29.03,-67.31,14.61,12.010000000000005,19.11
367,20140501,Tibial,122,21,,SOD1,,P90–120,SOD1_P90–120,6.9,17.69230769230769,-66.5,-47.4,7.23,18.53846153846154,-68.0,-47.0,0.39,Firing,1.2,1.8,0.6,9.3,5.826711,-49.3,13.127409,2.7,51.9,-65.2,15.900000000000004,-1.2999999999999972,17.800000000000004
365,20140501,Tibial,122,21,,SOD1,,P90–120,SOD1_P90–120,0.9,4.5,-53.7,-39.1,0.57,2.85,-55.8,-39.5,0.2,Firing,2.2,1.8,-0.4,-3.0,5.81156,-43.5,7.099957000000001,3.1,27.13,-65.1,21.599999999999994,11.399999999999993,25.999999999999996
386,20140527,tibial,113,23,,WT,0.0,P90–120,WT_P90–120,0.7,1.4583333333333333,-54.1,-47.5,2.38,4.958333333333333,-55.9,-47.3,0.48,Firing,3.2,6.4,3.4,16.8,,-49.0,,,,-65.3,16.299999999999994,11.199999999999996,17.799999999999994
393,20140527,tibial,113,23,,WT,0.0,P90–120,WT_P90–120,1.7,1.9318181818181817,-57.1,-48.0,1.23,1.3977272727272727,-61.7,-52.0,0.88,Non-firing,12.08,,,,,-48.4,,,,-66.2,17.800000000000004,9.1,18.200000000000006
398,20140527,tibial,113,23,,WT,0.0,P90–120,WT_P90–120,0.1,0.15384615384615385,-50.5,-49.8,0.5,0.7692307692307692,-55.1,-46.0,0.65,Non-firing,4.03,,,,,-44.7,,,,-51.4,6.699999999999997,0.8999999999999986,1.6000000000000014
430,20140708,sciatic,74,24,,SOD1,,P60–90,SOD1_P60–90,1.4,3.333333333333333,-59.6,-47.7,1.87,4.4523809523809526,-62.2,-46.3,0.42,Firing,6.7,8.0,1.3,-5.7,,-47.8,,,,-70.0,22.200000000000006,10.4,22.3
439,20140708,sciatic,74,24,,SOD1,,P60–90,SOD1_P60–90,0.8,2.3529411764705883,-55.6,-46.4,0.78,2.294117647058824,-57.0,-46.0,0.34,Firing,3.2,4.5,1.3,-9.7,4.9658690000000005,-45.3,12.78732,4.8,57.2,-64.8,19.5,9.199999999999996,18.4
432,20140708,sciatic,74,24,,SOD1,,P60–90,SOD1_P60–90,1.9,6.333333333333332,-55.4,-43.0,2.18,7.2666666666666675,-60.2,-43.0,0.3,Firing,3.4,2.8,-0.6,-10.0,9.909814,-45.4,12.020151,3.9,46.8,-64.6,19.2,9.199999999999996,21.599999999999994
415,20140708,sciatic,74,24,,SOD1,,P60–90,SOD1_P60–90,0.5,1.162790697674419,-58.8,-46.0,0.5,1.162790697674419,-58.9,-50.5,0.43,Non-firing,,,,,,,,,,-60.1,,1.3000000000000045,14.1
445,20140709,sciatic,75,20,F,SOD1,55.0,P60–90,SOD1_P60–90,1.0,3.4482758620689657,-58.2,-40.2,3.02,10.413793103448276,-55.4,-38.2,0.29,Firing,4.0,4.2,0.2,17.4,10.307166,-41.0,15.745739000000002,5.0,43.0,-60.3,19.3,2.0999999999999943,20.099999999999994
442,20140709,sciatic,75,20,F,SOD1,55.0,P60–90,SOD1_P60–90,3.2,4.9230769230769225,-59.1,-46.2,5.81,8.938461538461537,-59.5,-46.2,0.65,Firing,10.8,12.1,1.3,-4.2,4.621454,-50.7,28.519478999999997,11.9,52.72,-69.7,19.0,10.6,23.5
453,20140709,sciatic,75,20,F,SOD1,55.0,P60–90,SOD1_P60–90,2.9,5.918367346938775,-49.4,-34.9,4.28,8.734693877551019,-55.9,-33.5,0.49,Firing,12.9,14.0,1.1,18.6,,-33.5,,,,-66.7,33.2,17.300000000000004,31.800000000000004
450,20140709,sciatic,75,20,F,SOD1,55.0,P60–90,SOD1_P60–90,0.9,2.5,-57.7,-42.0,1.28,3.5555555555555562,-58.1,-43.0,0.36,Non-firing,,,,,,,,,,-60.0,,2.299999999999997,18.0
472,20140718,sciatic,84,29,M,WT,0.0,P60–90,WT_P60–90,1.0,2.2222222222222223,-65.0,-54.7,0.54,1.2,-63.0,-55.2,0.45,Firing,3.7,4.1,0.4,-11.0,,-62.2,,,,-73.4,11.200000000000005,8.400000000000006,18.700000000000006
459,20140718,sciatic,84,29,M,WT,0.0,P60–90,WT_P60–90,6.3,11.454545454545453,-53.0,-28.8,9.4,17.09090909090909,-55.0,-26.0,0.55,Firing,7.5,10.6,3.1,2.7,5.987578,-41.9,31.346804,10.2,65.5,-66.7,24.800000000000004,13.700000000000005,37.90000000000001
462,20140718,sciatic,84,29,M,WT,0.0,P60–90,WT_P60–90,3.8,7.450980392156862,-56.9,-31.8,4.56,8.941176470588236,-55.7,-29.4,0.51,Firing,9.9,12.4,2.5,-4.7,,-33.5,,,,-59.4,25.9,2.5,27.6
463,20140718,sciatic,84,29,M,WT,0.0,P60–90,WT_P60–90,1.7,3.5416666666666665,-60.2,-46.8,0.62,1.2916666666666667,-60.6,-47.8,0.48,Firing,4.5,9.6,5.1,2.0,,-50.2,,,,-60.7,10.5,0.5,13.900000000000004
481,20140723,sciatic,89,18,F,SOD1,61.0,P60–90,SOD1_P60–90,4.6,8.846153846153845,-62.7,-41.8,3.82,7.346153846153847,-63.8,41.4,0.52,Firing,10.4,13.4,3.0,19.0,2.4597919999999998,-44.4,13.390839999999999,12.7,53.9,-75.9,31.50000000000001,13.200000000000005,34.10000000000001
